District,Year,june,july,august,september,october,Yield
NALANDA,2010,0.266,0.41,0.509,0.614,0.601,3.89
NALANDA,2011,0.335,0.452,0.503,0.609,0.554,4.56
NALANDA,2012,0.244,0.374,0.432,0.728,0.723,5.82
NALANDA,2013,0.409,0.525,0.523,0.627,0.67,4.82
NALANDA,2014,0.387,0.482,0.377,0.642,0.695,4.18
NAWADA,2006,0.327,0.445,0.552,0.723,0.67,2.15
NAWADA,2007,0.351,0.436,0.366,0.718,0.728,3.3
NAWADA,2008,0.336,0.426,0.448,0.706,0.697,3.22
NAWADA,2009,0.445,0.453,0.45,0.561,0.601,3.08
NAWADA,2010,0.297,0.484,0.48,0.569,0.573,4.13
NAWADA,2011,0.383,0.453,0.45,0.561,0.601,4.34
NAWADA,2012,0.252,0.384,0.507,0.7,0.704,3.86
NAWADA,2013,0.448,0.54,0.496,0.596,0.682,4.82
NAWADA,2014,0.407,0.506,0.461,0.735,0.731,4.14
PACHIM CHAMPARAN,2006,0.402,0.541,0.695,0.734,0.637,1.94
PACHIM CHAMPARAN,2007,0.397,0.454,0.54,0.68,0.638,2.2
PACHIM CHAMPARAN,2008,0.395,0.462,0.647,0.723,0.643,3.27
PACHIM CHAMPARAN,2009,0.394,0.506,0.688,0.763,0.624,2.45
PACHIM CHAMPARAN,2010,0.384,0.503,0.609,0.711,0.691,2.96
PACHIM CHAMPARAN,2011,0.425,0.506,0.688,0.763,0.624,3.24
PACHIM CHAMPARAN,2012,0.317,0.45,0.675,0.75,0.693,4.99
PACHIM CHAMPARAN,2013,0.47,0.525,0.672,0.75,0.697,3.4
PACHIM CHAMPARAN,2014,0.371,0.541,0.683,0.741,0.691,3.33
PATNA,2006,0.323,0.367,0.456,0.627,0.607,2.41
PATNA,2007,0.323,0.363,0.317,0.598,0.581,3.65
PATNA,2008,0.328,0.314,0.432,0.584,0.607,3.25
PATNA,2009,0.337,0.372,0.468,0.598,0.583,3.1
PATNA,2010,0.254,0.391,0.495,0.587,0.567,4.05
PATNA,2011,0.334,0.372,0.468,0.599,0.583,4.35
PATNA,2012,0.233,0.337,0.457,0.673,0.647,4.41
PATNA,2013,0.376,0.429,0.488,0.579,0.625,4.82
PATNA,2014,0.316,0.423,0.413,0.609,0.645,3.99
PURBA CHAMPARAN,2006,0.356,0.413,0.602,0.69,0.623,1.49
PURBA CHAMPARAN,2007,0.33,0.36,0.375,0.607,0.602,2.22
PURBA CHAMPARAN,2008,0.354,0.38,0.56,0.705,0.663,3.28
PURBA CHAMPARAN,2009,0.362,0.39,0.593,0.734,0.621,2.47
PURBA CHAMPARAN,2010,0.314,0.387,0.51,0.677,0.68,2.86
PURBA CHAMPARAN,2011,0.362,0.39,0.593,0.734,0.621,3.85
PURBA CHAMPARAN,2012,0.277,0.323,0.648,0.751,0.692,5.87
PURBA CHAMPARAN,2013,0.427,0.445,0.62,0.719,0.686,4.93
PURBA CHAMPARAN,2014,0.377,0.452,0.588,0.712,0.694,3.88
PURNIA,2006,0.562,0.562,0.644,0.702,0.659,3.96
PURNIA,2007,0.539,0.554,0.578,0.707,0.652,4.49
PURNIA,2008,0.538,0.51,0.56,0.703,0.683,4.02
PURNIA,2009,0.562,0.539,0.527,0.742,0.668,4.66
PURNIA,2010,0.559,0.523,0.546,0.676,0.678,2.51
PURNIA,2011,0.624,0.539,0.527,0.742,0.668,3.16
PURNIA,2012,0.462,0.42,0.717,0.743,0.69,2.86
PURNIA,2013,0.624,0.491,0.623,0.73,0.673,2.95
PURNIA,2014,0.497,0.497,0.607,0.739,0.704,2.2
ROHTAS,2006,0.305,0.34,0.532,0.772,0.726,1.71
ROHTAS,2007,0.27,0.331,0.506,0.776,0.768,3.22
ROHTAS,2008,0.277,0.24,0.627,0.799,0.744,3.11
ROHTAS,2009,0.236,0.299,0.416,0.744,0.767,4
ROHTAS,2010,0.209,0.294,0.491,0.734,0.767,4.67
ROHTAS,2011,0.262,0.299,0.415,0.744,0.767,4.67
ROHTAS,2012,0.205,0.281,0.564,0.816,0.779,4.86
ROHTAS,2013,0.264,0.322,0.59,0.759,0.817,4
ROHTAS,2014,0.27,0.339,0.435,0.763,0.801,3.24
SAHARSA,2006,0.477,0.465,0.608,0.691,0.637,3.24
SAHARSA,2007,0.474,0.475,0.434,0.606,0.604,4.17
SAHARSA,2008,0.494,0.468,0.501,0.625,0.638,3.31
SAHARSA,2009,0.56,0.551,0.531,0.719,0.671,3.49
SAHARSA,2010,0.509,0.482,0.521,0.676,0.655,6.41
SAHARSA,2011,0.552,0.551,0.531,0.719,0.671,5.27
SAHARSA,2012,0.389,0.39,0.552,0.739,0.699,6.54
SAHARSA,2013,0.609,0.46,0.542,0.678,0.681,5.32
SAHARSA,2014,0.49,0.495,0.574,0.703,0.706,4.78
SAMASTIPUR,2006,0.35,0.433,0.509,0.582,0.528,2.24
SAMASTIPUR,2007,0.351,0.391,0.306,0.387,0.391,3.84
SAMASTIPUR,2008,0.383,0.42,0.459,0.587,0.581,3.25
SAMASTIPUR,2009,0.428,0.434,0.48,0.627,0.556,3.1
SAMASTIPUR,2010,0.374,0.452,0.488,0.594,0.551,4.54
SAMASTIPUR,2011,0.436,0.434,0.48,0.627,0.556,4
SAMASTIPUR,2012,0.307,0.334,0.593,0.653,0.613,5.48
SAMASTIPUR,2013,0.444,0.499,0.55,0.603,0.58,4.82
SAMASTIPUR,2014,0.378,0.495,0.569,0.619,0.571,2.97
SARAN,2006,0.332,0.415,0.544,0.647,0.602,1.87
SARAN,2007,0.338,0.371,0.442,0.601,0.595,1.81
SARAN,2008,0.333,0.358,0.52,0.616,0.617,3.27
SARAN,2009,0.373,0.371,0.506,0.67,0.593,1.64
SARAN,2010,0.264,0.389,0.499,0.619,0.613,2.78
SARAN,2011,0.366,0.371,0.506,0.671,0.593,3.75
SARAN,2012,0.249,0.324,0.552,0.683,0.635,2.93
SARAN,2013,0.387,0.427,0.526,0.603,0.617,4.82
SARAN,2014,0.347,0.436,0.472,0.658,0.653,3.48
SHEIKHPURA,2006,0.32,0.425,0.476,0.678,0.661,1.3
SHEIKHPURA,2007,0.36,0.485,0.316,0.676,0.681,3.68
SHEIKHPURA,2008,0.319,0.391,0.406,0.696,0.7,3.27
SHEIKHPURA,2009,0.391,0.438,0.447,0.568,0.613,3.11
SHEIKHPURA,2010,0.274,0.445,0.485,0.564,0.553,3.86
SHEIKHPURA,2011,0.405,0.438,0.447,0.569,0.614,3.24
SHEIKHPURA,2012,0.23,0.421,0.518,0.631,0.679,2
SHEIKHPURA,2013,0.423,0.507,0.502,0.565,0.608,1.97
SHEIKHPURA,2014,0.353,0.482,0.412,0.689,0.715,4.24
SHEOHAR,2006,0.373,0.384,0.577,0.709,0.628,2.16
SHEOHAR,2007,0.373,0.399,0.393,0.712,0.704,4.24
SHEOHAR,2008,0.416,0.443,0.561,0.738,0.718,2.16
SHEOHAR,2009,0.401,0.409,0.579,0.743,0.663,2
SHEOHAR,2010,0.331,0.446,0.479,0.695,0.692,4.22
SHEOHAR,2011,0.412,0.409,0.579,0.742,0.663,4.27
SHEOHAR,2012,0.304,0.367,0.668,0.766,0.72,3.86
SHEOHAR,2013,0.462,0.424,0.628,0.731,0.698,4.83
SHEOHAR,2014,0.412,0.469,0.566,0.726,0.716,3.89
SITAMARHI,2006,0.383,0.412,0.574,0.682,0.627,2.09
SITAMARHI,2007,0.379,0.41,0.363,0.652,0.659,2.21
SITAMARHI,2008,0.41,0.439,0.54,0.736,0.706,3.28
SITAMARHI,2009,0.415,0.429,0.532,0.745,0.688,2.46
SITAMARHI,2010,0.366,0.457,0.5,0.689,0.682,2.86
SITAMARHI,2011,0.495,0.429,0.532,0.745,0.688,3.91
SITAMARHI,2012,0.328,0.368,0.587,0.748,0.731,5.61
SITAMARHI,2013,0.455,0.469,0.58,0.692,0.678,4.95
SITAMARHI,2014,0.41,0.505,0.573,0.682,0.712,3.88
SIWAN,2006,0.314,0.389,0.579,0.695,0.624,1.84
SIWAN,2007,0.322,0.349,0.489,0.671,0.64,1.76
SIWAN,2008,0.297,0.318,0.563,0.668,0.623,3.27
SIWAN,2009,0.342,0.35,0.568,0.66,0.569,1.58
SIWAN,2010,0.239,0.347,0.538,0.653,0.654,2.75
SIWAN,2011,0.321,0.349,0.569,0.66,0.569,3.74
SIWAN,2012,0.239,0.304,0.64,0.697,0.637,2.87
SIWAN,2013,0.34,0.388,0.579,0.669,0.645,4.82
SIWAN,2014,0.332,0.433,0.543,0.692,0.651,3.56
SUPAUL,2006,0.574,0.594,0.602,0.712,0.67,4.65
SUPAUL,2007,0.607,0.581,0.491,0.716,0.664,2.14
SUPAUL,2008,0.605,0.546,0.553,0.549,0.564,3.38
SUPAUL,2009,0.586,0.595,0.533,0.708,0.671,4.36
SUPAUL,2010,0.608,0.565,0.511,0.696,0.681,5.68
SUPAUL,2011,0.65,0.595,0.533,0.708,0.671,3.75
SUPAUL,2012,0.486,0.549,0.642,0.729,0.704,6.82
SUPAUL,2013,0.665,0.516,0.617,0.728,0.695,5.35
SUPAUL,2014,0.586,0.531,0.605,0.741,0.716,5.12
VAISHALI,2006,0.35,0.437,0.533,0.635,0.558,1.78
VAISHALI,2007,0.354,0.425,0.427,0.554,0.498,3.14
VAISHALI,2008,0.404,0.388,0.448,0.573,0.569,3.29
VAISHALI,2009,0.436,0.415,0.523,0.656,0.556,2.91
VAISHALI,2010,0.32,0.427,0.514,0.586,0.554,2.75
VAISHALI,2011,0.377,0.415,0.523,0.656,0.557,4.13
VAISHALI,2012,0.284,0.35,0.539,0.654,0.598,5.67
VAISHALI,2013,0.455,0.466,0.497,0.579,0.578,5.38
VAISHALI,2014,0.4,0.462,0.48,0.621,0.591,3.88
